brand,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
Toyota,2018,5229,1,2,1,1,17.1,1496.0,105.5,5.0,13.815510557964274
Jeep,2017,120000,0,1,1,1,17.1,1956.0,170.0,5.0,14.253765488895429
Toyota,2011,28100,1,1,1,1,19.383089105743082,1248.0,82.85,5.0,12.948009990259552
Maruti,2019,10000,1,1,0,1,21.21,1197.0,81.8,5.0,13.304684934198283
Mahindra,2018,50000,0,1,1,1,23.5,909.0,45.0,8.0,12.89921982609012
Tata,2012,30078,1,0,1,1,15.3,1396.0,70.0,5.0,12.206072645530174
Volkswagen,2011,90000,0,1,1,1,20.54,1598.0,103.6,5.0,12.323855681186558
Hyundai,2013,50000,1,1,1,2,17.92,1086.0,62.1,5.0,12.180754837545884
Maruti,2009,75000,1,1,1,3,18.9,1061.0,67.0,5.0,11.918390573078392
Maruti,2005,90000,1,1,1,2,18.9,998.0,67.1,5.0,11.396391648714276
Renault,2018,25000,1,1,1,1,23.01,999.0,67.0,5.0,12.765688433465597
Maruti,2016,35000,1,1,1,2,22.74,796.0,47.3,5.0,12.323855681186558
Tata,2018,20000,0,1,1,1,21.5,1497.0,108.5,5.0,13.795307850646754
Lexus,2019,20000,1,0,0,1,22.37,2487.0,214.56,5.0,15.454507272639919
Maruti,2018,25000,1,1,1,1,20.73,1373.0,91.1,5.0,13.487006490992238
Mahindra,2014,74000,0,0,1,1,15.96,2523.0,62.1,7.0,13.253391639810733
Maruti,2011,60000,0,1,1,1,19.3,1248.0,73.9,5.0,12.487485104968359
Maruti,2019,10000,1,1,1,1,21.21,1197.0,81.8,5.0,13.279367126213993
Mahindra,2014,50000,0,1,1,2,15.96,2523.0,62.1,7.0,13.304684934198283
Hyundai,2010,120000,0,1,1,2,11.8,1991.0,150.0,5.0,13.122363377404328
Mahindra,2013,120000,0,1,1,2,11.68,2498.0,112.0,7.0,13.017002861746503
Maruti,1997,186388,1,1,1,2,14.8,1298.0,80.0,8.0,12.611537753638338
Volvo,2018,2000,0,0,0,1,16.8,1984.0,150.0,5.0,14.721750953984929
Maruti,2020,25000,1,1,1,1,21.63,998.0,67.04,5.0,12.948009990259552
Maruti,2016,90000,1,1,1,1,20.4,1197.0,81.8,5.0,13.253391639810733
Mahindra,2018,50000,0,1,1,2,18.49,1493.0,100.0,7.0,13.560618308335483
Maruti,2017,30000,1,1,1,2,21.4,1197.0,83.1,5.0,13.180632285528304
Ford,2013,100000,0,1,1,1,20.0,1399.0,68.1,5.0,12.388394202324129
Hyundai,2011,35000,1,1,1,1,21.1,814.0,55.2,5.0,12.100712129872347
Hyundai,2014,83000,0,1,1,2,22.54,1396.0,88.73,5.0,13.071070083016778
Honda,2017,40000,0,1,1,1,25.5,1498.0,98.6,5.0,13.710150042306449
Tata,2016,13500,1,1,1,1,23.84,1199.0,84.0,5.0,12.959844447906553
Maruti,2017,40000,1,1,1,1,23.95,998.0,67.05,5.0,12.765688433465597
Maruti,2008,66530,1,1,1,2,18.9,1061.0,67.0,5.0,11.512925464970229
Maruti,2015,50000,1,1,1,1,20.85,1197.0,83.14,5.0,13.217673557208654
Maruti,2017,56000,0,1,1,1,25.2,1248.0,74.0,5.0,13.399995114002609
Maruti,2019,10000,1,1,1,1,20.89,1197.0,81.8,5.0,13.122363377404328
Maruti,2015,70000,0,1,1,1,20.77,1248.0,88.76,7.0,13.270783382522602
Honda,2017,50000,0,1,1,1,25.8,1498.0,98.6,5.0,13.38472764187182
Ford,2011,15000,1,1,1,1,15.6,1196.0,70.0,5.0,12.323855681186558
Toyota,2017,25538,1,2,1,1,16.78,1496.0,88.73,5.0,13.345506928718539
Renault,2013,100000,0,1,1,3,20.45,1461.0,83.8,5.0,12.691580461311874
Volkswagen,2018,14495,1,0,1,1,18.78,999.0,75.0,5.0,13.235692062711331
Hyundai,2018,31000,1,0,0,1,17.4,1197.0,81.86,5.0,13.500799813124575
Maruti,2011,50000,1,1,1,1,19.7,796.0,46.3,5.0,12.072541252905651
Maruti,2009,40000,1,1,1,1,16.1,796.0,37.0,4.0,11.77528972943772
Toyota,2018,46000,0,1,1,1,14.24,2755.0,174.5,7.0,14.880221294956703
Tata,2020,20000,1,1,1,1,17.0,1198.0,108.5,5.0,13.732127862068111
Toyota,2011,291000,0,1,1,2,12.8,2494.0,102.0,7.0,13.527828485512494
Ford,2003,83000,1,1,1,2,13.8,1299.0,70.0,5.0,11.608235644774552
Tata,2010,88000,0,1,1,1,18.8,1248.0,90.0,5.0,11.608235644774552
Maruti,2005,90000,1,1,1,2,19.7,796.0,46.3,5.0,11.608235644774552
Maruti,2016,30000,1,1,1,2,20.51,998.0,67.04,5.0,12.736700896592344
Chevrolet,2016,32000,0,1,1,1,18.2,1248.0,73.74,8.0,13.190022025878143
Jaguar,2017,9000,0,0,0,1,13.6,1999.0,177.0,5.0,14.780591454007862
Ford,2011,70000,0,1,1,2,20.0,1399.0,68.0,5.0,12.043553716032399
Maruti,2016,108000,0,0,1,1,23.65,1248.0,88.5,5.0,13.422467969854667
Maruti,2020,20000,1,1,1,1,23.26,1197.0,88.5,5.0,13.458835614025542
Mahindra,2015,70000,0,1,1,1,15.4,2179.0,120.0,7.0,13.933293593620657
Maruti,2014,102000,0,0,1,1,24.2,1498.0,93.87,7.0,13.458835614025542
Hyundai,2015,80000,0,1,1,2,19.67,1582.0,126.2,5.0,13.709038313453757
Tata,2018,26300,1,1,1,1,23.84,1199.0,84.0,5.0,13.235692062711331
Maruti,1999,65000,1,1,1,4,15.9,1298.0,85.0,5.0,11.156250521031495
Maruti,2006,110000,1,1,1,3,19.383089105743082,1248.0,82.85,5.0,12.345830240069793
Mahindra,2011,50000,0,1,1,2,13.6,2523.0,63.0,7.0,12.923909999653127
Honda,2016,56494,1,2,1,1,18.2,1199.0,88.7,5.0,13.217673557208654
Tata,2012,120000,0,1,1,2,19.09,1396.0,69.0,5.0,12.230760380059866
Mahindra,2008,120000,0,1,1,2,13.6,2523.0,63.0,7.0,12.154779351142624
Mahindra,2017,100000,0,1,1,2,16.5,1493.0,70.0,7.0,13.337474757021274
Maruti,2016,60000,0,1,1,3,23.2,1248.0,73.94,5.0,12.89921982609012
Hyundai,2018,25000,1,1,1,1,21.1,814.0,55.2,5.0,12.765688433465597
Maruti,2016,120000,0,1,1,3,26.59,1248.0,74.0,5.0,12.959844447906553
Tata,2015,40000,1,1,1,1,17.57,1193.0,88.7,5.0,13.017002861746503
Fiat,2013,52000,0,1,1,1,20.3,1248.0,75.0,5.0,12.542544882151386
Mahindra,2017,60000,0,1,1,1,18.49,1493.0,100.0,7.0,13.527828485512494
Hyundai,2016,77000,0,1,1,1,22.54,1396.0,88.73,5.0,13.322852238153732
Nissan,2012,70000,1,1,1,2,16.95,1498.0,97.7,5.0,12.676076274775909
Renault,2018,12000,0,1,1,1,19.6,1461.0,108.45,5.0,14.038654109278484
Toyota,2013,79328,0,2,1,2,12.99,2494.0,100.6,7.0,13.527828485512494
Mahindra,2011,120000,0,1,1,3,13.5,2179.0,115.0,5.0,12.765688433465597
Maruti,2018,35000,0,1,1,1,24.3,1248.0,88.5,5.0,13.623138665316818
Toyota,2015,120000,0,1,1,1,13.0,2494.0,142.0,7.0,14.508657738524219
Honda,2012,120000,1,1,1,1,16.8,1497.0,116.3,5.0,13.217673557208654
Maruti,2018,20000,1,1,1,1,24.7,796.0,47.3,5.0,12.594730635321957
Maruti,2017,34000,0,1,1,2,28.4,1248.0,74.02,5.0,13.345506928718539
Ford,2008,180000,0,1,1,2,17.8,1399.0,67.0,5.0,12.154779351142624
Maruti,2017,32500,0,1,1,2,28.4,1248.0,74.02,5.0,13.386264921190707
Tata,2006,74000,0,1,1,1,13.7,1948.0,68.0,7.0,11.77528972943772
Maruti,2009,60000,1,1,1,3,19.7,796.0,46.3,5.0,11.736069016284437
Mahindra,2011,100000,0,1,1,2,15.96,2523.0,63.0,9.0,12.429216196844383
Chevrolet,2011,40000,1,1,1,2,18.0,995.0,62.0,5.0,11.918390573078392
Toyota,2015,120000,0,1,1,2,12.55,2982.0,168.5,7.0,14.451028625687583
Maruti,2014,65000,0,1,1,1,25.2,1248.0,74.0,5.0,12.959844447906553
Tata,2015,110000,0,1,1,1,14.1,2179.0,147.94,7.0,13.128345449081877
Maruti,2010,130000,0,1,1,3,17.8,1248.0,75.0,5.0,12.676076274775909
Tata,2017,80000,0,1,1,1,22.95,1248.0,74.0,5.0,12.542544882151386
Honda,2006,80000,1,1,1,2,17.7,1497.0,78.0,5.0,11.441966376029734
Ford,2017,101000,0,1,1,1,22.77,1498.0,98.59,5.0,13.74723171721098
Maruti,2012,100000,1,1,1,2,18.5,1197.0,85.8,5.0,12.793859310432293
Nissan,2015,80000,0,1,1,2,20.45,1461.0,83.8,5.0,13.458835614025542
Renault,2019,5000,1,1,1,1,20.0,999.0,72.0,7.0,13.422467969854667
Mahindra,2018,30000,0,1,1,1,25.32,1198.0,77.0,6.0,13.458835614025542
Hyundai,2015,120000,1,1,1,2,18.6,1197.0,81.83,5.0,13.151922179645874
Maruti,2014,43381,1,0,1,2,22.74,796.0,47.3,5.0,12.206072645530174
Maruti,2010,120000,0,1,1,2,19.3,1248.0,73.9,5.0,12.644327576461329
Tata,2018,14000,0,1,1,1,21.5,1497.0,108.5,5.0,13.764217263576723
Maruti,2016,80000,0,1,1,1,28.09,1248.0,88.5,5.0,13.527828485512494
Hyundai,2006,90000,1,1,1,3,13.9,1599.0,103.2,5.0,12.043553716032399
Hyundai,2018,70000,0,1,1,1,22.0,1582.0,126.2,5.0,13.764217263576723
Hyundai,2018,35000,0,1,1,1,24.0,1186.0,73.97,5.0,13.458835614025542
Toyota,2017,25538,1,2,1,1,16.78,1496.0,88.73,5.0,13.345506928718539
Ambassador,2008,60000,0,1,1,2,12.8,1995.0,52.0,5.0,11.711776323715394
Mahindra,2011,230000,0,1,1,1,14.0,2498.0,112.0,7.0,13.304684934198283
Tata,2014,70000,0,1,1,2,15.05,2179.0,147.9,7.0,13.081541382884074
Hyundai,2013,60000,1,1,1,1,21.1,814.0,55.2,5.0,12.100712129872347
Hyundai,2019,15000,1,1,0,1,18.9,1197.0,81.86,5.0,13.217673557208654
Mahindra,2014,11500,0,1,1,1,15.96,2523.0,63.0,9.0,13.217673557208654
Tata,2019,16000,1,1,1,1,23.84,1199.0,84.0,5.0,12.75419405403986
Hyundai,2017,50000,1,1,1,1,18.9,1197.0,82.0,5.0,13.060487973686241
Nissan,2015,90000,0,1,1,1,20.45,1461.0,83.8,5.0,13.270783382522602
Toyota,2015,50000,0,1,1,1,12.99,2494.0,100.6,8.0,13.815510557964274
Hyundai,2016,25000,1,1,1,1,17.01,1591.0,121.3,5.0,13.652991628466498
Mahindra,2019,40000,0,1,1,1,17.3,1497.0,121.0,8.0,14.077874822431765
Nissan,2014,120000,0,1,1,2,19.01,1461.0,108.5,5.0,13.17115354157376
Toyota,2016,68089,1,2,0,1,19.16,2494.0,157.7,5.0,14.508657738524219
Maruti,2020,7300,1,1,1,1,21.01,1197.0,81.8,5.0,13.38472764187182
Maruti,2015,40000,1,1,1,1,22.74,796.0,47.3,5.0,12.409013489526863
Mahindra,2017,35000,0,1,1,1,16.55,2498.0,105.0,6.0,13.567049198665774
Mahindra,2019,32000,0,1,1,1,15.1,2179.0,155.0,7.0,14.346138809026444
Maruti,2004,80000,1,1,1,2,17.3,993.0,60.0,5.0,11.695247021764184
Tata,2004,90000,0,1,1,3,16.8,1405.0,62.0,5.0,10.915088464214607
Maruti,2017,53619,0,2,1,1,24.3,1248.0,88.5,5.0,13.652991628466498
Tata,2018,142000,0,1,1,1,14.1,2179.0,147.94,5.0,13.681979165339751
Maruti,2009,120000,0,1,1,3,19.3,1248.0,73.9,5.0,12.323855681186558
Maruti,2008,29000,1,1,1,1,16.1,796.0,37.0,4.0,11.225243392518447
Hyundai,2012,100000,0,1,1,2,21.9,1396.0,90.0,5.0,12.577636201962656
Tata,2010,140000,0,1,1,1,18.4,1248.0,75.0,5.0,12.345830240069793
Honda,2008,100000,1,1,1,1,17.7,1497.0,78.0,5.0,12.429216196844383
Maruti,2014,70000,1,1,1,2,19.1,1197.0,85.8,5.0,12.89921982609012
Jaguar,2017,45000,0,0,0,1,19.33,1999.0,177.0,5.0,14.978661367769956
Hyundai,2018,50000,0,1,1,2,21.19,1396.0,88.73,5.0,13.487006490992238
Hyundai,2007,150000,0,1,1,2,18.1,1493.0,110.0,5.0,12.100712129872347
Nissan,2012,70000,0,1,1,2,21.64,1461.0,84.8,5.0,12.594730635321957
Volkswagen,2016,97000,0,1,0,1,16.96,1968.0,138.03,5.0,14.115615150414612
Tata,2013,30000,1,1,1,1,25.4,624.0,37.48,4.0,11.289781913656018
Maruti,2017,43000,1,1,1,1,20.85,1197.0,83.14,5.0,13.122363377404328
Renault,2015,15200,1,1,1,1,25.17,799.0,53.3,5.0,12.577636201962656
Mahindra,2011,120000,0,1,1,3,21.0,1461.0,64.1,5.0,12.206072645530174
Hyundai,2018,30000,1,1,1,2,18.6,1197.0,81.83,5.0,13.458835614025542
Maruti,2018,50000,0,1,1,1,24.3,1248.0,88.5,5.0,13.554145793829866
Maruti,2004,220000,1,1,1,2,16.1,796.0,37.0,4.0,11.156250521031495
Maruti,2010,80000,1,1,1,1,11.96,1298.0,80.0,8.0,12.765688433465597
Tata,2017,40000,0,1,1,1,25.0,1396.0,69.0,5.0,12.577636201962656
Maruti,2019,5621,1,2,0,1,22.0,1197.0,81.8,5.0,13.38472764187182
Renault,2016,15000,1,1,1,1,25.17,799.0,53.3,5.0,12.765688433465597
Maruti,2014,74537,1,1,1,2,20.51,998.0,67.04,5.0,12.611537753638338
Maruti,2007,70000,1,1,1,3,15.9,1298.0,85.0,5.0,10.915088464214607
Tata,2006,110000,0,1,1,4,17.88,1396.0,52.8,5.0,11.119882876860622
Maruti,2012,50000,1,1,1,2,18.6,1197.0,85.8,5.0,12.706847933442663
Honda,2007,120000,1,1,1,2,17.7,1497.0,78.0,5.0,11.835008964139341
Maruti,2012,50000,1,1,1,1,20.92,998.0,67.1,5.0,12.524526376648708
Mahindra,2012,119000,0,1,1,1,14.0,2489.0,95.0,8.0,12.429216196844383
Hyundai,2011,20000,1,1,0,1,16.95,1197.0,78.9,5.0,12.487485104968359
Maruti,2005,90000,1,1,1,1,17.3,993.0,60.0,5.0,11.350406535472453
Hyundai,2013,50000,0,1,1,1,23.5,1396.0,88.7,5.0,13.217673557208654
Renault,2013,120000,0,1,1,1,21.64,1461.0,84.8,5.0,12.983099011217604
Maruti,2017,50000,0,1,1,1,24.52,1248.0,88.5,7.0,13.473020249017498
Hyundai,2016,7672,1,1,1,1,21.1,814.0,55.2,5.0,12.506177237980511
Mahindra,2017,142000,0,1,1,1,18.49,1493.0,100.0,7.0,13.142164043914272
Mahindra,2017,25000,0,1,1,1,16.0,2179.0,140.0,7.0,14.115615150414612
Volkswagen,2019,36800,0,0,1,1,20.14,1498.0,88.0,5.0,13.45166712454693
Tata,2009,146000,0,1,1,2,13.93,2179.0,138.0,7.0,12.429216196844383
Jaguar,2017,9000,0,0,0,1,13.6,1999.0,177.0,5.0,14.812828128480803
Mahindra,2015,62000,0,0,1,1,21.0,1498.0,74.96,7.0,13.005829561148378
Maruti,2017,35000,1,1,1,1,24.7,796.0,47.3,5.0,12.644327576461329
Renault,2016,40000,0,1,1,1,19.87,1461.0,83.8,5.0,13.151922179645874
Hyundai,2011,97000,1,1,1,3,19.81,1086.0,68.05,5.0,12.013700752882718
Maruti,2009,70000,1,1,1,2,18.9,1061.0,67.0,5.0,11.695247021764184
BMW,2019,21000,0,0,0,1,16.78,1995.0,190.0,5.0,15.573368475516649
Hyundai,2017,41000,0,0,1,1,20.5,1582.0,126.2,5.0,13.790192749979985
Honda,2016,80000,0,1,1,1,26.0,1498.0,98.6,5.0,13.547631112808673
Maruti,2018,100000,1,1,1,2,19.0,1197.0,85.8,5.0,13.028052697933088
Mahindra,2018,50000,0,1,1,1,16.5,1493.0,70.0,7.0,13.527828485512494
Hyundai,2018,25000,1,1,1,1,20.3,998.0,68.05,5.0,12.765688433465597
Volkswagen,2013,84000,0,1,0,2,16.96,1968.0,138.03,5.0,13.652991628466498
Mahindra,2014,60000,0,1,1,1,15.1,2179.0,140.0,7.0,13.652991628466498
Volkswagen,2012,61100,0,0,0,1,14.3,1968.0,140.0,5.0,13.591116224748411
Hyundai,2002,75000,1,1,1,2,19.383089105743082,1248.0,82.85,5.0,10.46310334047155
Hyundai,2017,82000,0,1,1,1,24.8,1396.0,88.7,5.0,13.458835614025542
Mahindra,2016,92385,0,1,1,1,15.96,2523.0,62.1,7.0,13.35506114152335
Tata,2019,100000,1,1,1,1,17.57,1193.0,88.7,5.0,13.337474757021274
Maruti,2017,15000,1,1,1,1,22.0,1197.0,81.8,5.0,13.321214236149494
Renault,2013,95000,0,1,1,1,20.46,1461.0,83.8,5.0,13.102160670086809
Maruti,2020,1000,1,1,0,1,21.21,1197.0,81.8,5.0,13.390862630439337
Hyundai,2014,40000,1,1,1,1,21.1,814.0,55.2,5.0,12.2783933071098
Maruti,2017,24400,0,1,1,1,27.39,1248.0,74.0,5.0,13.514405465180353
Maruti,2017,50000,1,1,1,2,24.7,796.0,47.3,5.0,12.611537753638338
Maruti,2011,25000,1,1,1,2,19.7,796.0,46.3,5.0,11.982929094215963
Mahindra,2012,60000,0,1,1,2,15.1,2179.0,140.0,7.0,13.458835614025542
Maruti,2016,52000,0,0,1,1,23.65,1248.0,88.5,5.0,13.560618308335483
Skoda,2016,11000,1,0,0,1,14.3,1598.0,103.5,5.0,13.37700559577791
Maruti,2018,15000,0,1,1,1,28.4,1248.0,74.02,5.0,13.534473028231162
Tata,2012,120000,0,1,1,2,17.8,1405.0,70.0,5.0,11.608235644774552
Hyundai,2010,70000,1,1,1,2,20.36,1197.0,78.9,5.0,12.206072645530174
Maruti,2014,25000,1,1,1,1,18.5,1197.0,85.8,5.0,12.765688433465597
Maruti,2013,70000,0,1,1,3,23.4,1248.0,74.0,5.0,12.793859310432293
Mahindra,2018,35000,0,1,1,1,17.3,1497.0,121.0,8.0,13.997832114758229
Datsun,2017,25000,1,1,1,1,22.7,799.0,53.64,5.0,12.367340793126296
Toyota,2011,120000,0,1,1,1,11.5,2982.0,171.0,7.0,13.710150042306449
Mahindra,2017,67000,0,1,1,2,18.49,1493.0,100.0,7.0,13.399995114002609
Maruti,2018,59000,0,1,1,1,24.2,1498.0,93.87,7.0,13.652991628466498
Maruti,2018,38817,0,0,1,1,27.39,1248.0,74.0,5.0,13.514405465180353
Hyundai,2016,56239,0,0,1,1,22.54,1396.0,88.73,5.0,13.253391639810733
BMW,2018,10000,0,0,0,1,22.48,1995.0,187.74,5.0,15.201804919084164
Volkswagen,2020,5000,1,1,1,1,18.24,999.0,108.6,5.0,13.602317337503232
Mitsubishi,1999,198000,0,1,1,2,14.8,1998.0,68.0,5.0,11.918390573078392
Toyota,2017,23000,0,0,1,1,13.68,2393.0,147.8,7.0,14.375126345899696
Ford,2019,2789,1,0,1,1,18.16,1196.0,86.8,5.0,13.422467969854667
Volkswagen,2012,90000,0,1,1,1,20.54,1598.0,103.6,5.0,12.834681304952548
Renault,2013,120000,0,1,1,1,19.01,1461.0,108.45,5.0,13.45166712454693
Maruti,2017,28832,0,0,1,1,23.4,1248.0,74.0,5.0,13.16158409055761
Ford,2016,60000,0,0,1,1,22.77,1498.0,98.59,5.0,13.567049198665774
Renault,2018,13000,1,0,1,1,20.71,799.0,53.26,5.0,12.873902018105829
Datsun,2018,65000,1,1,1,1,19.02,1198.0,67.05,7.0,13.180632285528304
Tata,2008,40000,1,1,1,4,12.85,1396.0,99.6,5.0,11.813030057420567
Maruti,2005,80000,1,1,1,4,19.7,796.0,46.3,5.0,11.350406535472453
Maruti,2017,20000,0,1,1,1,27.39,1248.0,74.0,5.0,13.304684934198283
Volkswagen,2018,82000,0,1,0,1,21.73,1498.0,108.62,5.0,13.38472764187182
Maruti,2004,80000,1,1,1,2,16.1,796.0,37.0,4.0,11.695247021764184
Mahindra,2011,100000,0,1,1,2,13.0,2489.0,95.0,8.0,12.429216196844383
Maruti,2008,100000,1,1,1,1,17.5,1298.0,85.8,5.0,12.206072645530174
Chevrolet,2016,100000,0,1,1,1,13.58,2499.0,72.4,9.0,13.710150042306449
Toyota,2015,91000,0,0,0,2,12.55,2982.0,168.5,7.0,14.316285845876763
Tata,2012,50000,1,1,1,2,25.4,624.0,37.48,4.0,11.156250521031495
Tata,2012,110000,0,1,1,2,19.09,1396.0,69.0,5.0,11.970350312009105
Hyundai,2008,40000,1,1,1,1,0.0,1086.0,62.0,5.0,12.072541252905651
Mahindra,2012,90000,0,1,1,3,12.05,2179.0,120.0,8.0,13.199324418540456
Maruti,2018,23712,0,2,1,1,28.09,1248.0,88.5,5.0,13.737549016494562
Maruti,2015,70000,0,1,1,2,26.59,1248.0,74.0,5.0,13.060487973686241
Toyota,2017,25538,1,2,1,1,16.78,1496.0,88.73,5.0,13.345506928718539
Toyota,2010,210000,0,1,1,2,12.8,2494.0,102.0,8.0,13.017002861746503
Tata,2013,110000,0,1,1,2,13.7,2179.0,138.1,7.0,13.17115354157376
Renault,2014,80000,0,1,1,1,20.45,1461.0,83.8,5.0,13.081541382884074
Maruti,2010,58000,1,1,1,1,19.7,796.0,46.3,5.0,12.072541252905651
Maruti,1998,100000,1,1,1,2,16.1,796.0,37.0,4.0,11.156250521031495
Nissan,2015,110000,0,1,1,1,20.45,1461.0,83.8,5.0,13.815510557964274
Maruti,2016,80000,1,1,1,2,16.8,796.0,34.2,8.0,12.154779351142624
Hyundai,2019,4337,1,0,0,1,18.9,1197.0,82.0,5.0,13.345506928718539
Mahindra,2011,142000,0,1,1,1,15.96,2523.0,62.1,7.0,12.691580461311874
Ford,2015,40000,1,1,0,1,17.01,1499.0,110.4,5.0,12.9384405392434
Mahindra,2016,60000,0,1,1,1,18.06,2523.0,63.0,7.0,13.473020249017498
Maruti,2012,110000,0,1,1,1,19.3,1248.0,73.9,5.0,12.736700896592344
Maruti,2008,10000,1,1,1,2,16.1,796.0,37.0,4.0,11.082142548877775
Volkswagen,2015,120000,0,1,1,2,20.34,1498.0,103.2,5.0,13.151922179645874
Maruti,2006,90000,1,1,1,4,19.383089105743082,1248.0,82.85,5.0,12.2783933071098
Mahindra,2015,133000,0,1,1,2,15.4,2179.0,120.0,7.0,13.815510557964274
BMW,2019,7500,0,0,0,1,16.78,1995.0,190.0,5.0,15.501909511534503
